NAME,ID,RAPZWav,DecPZWav,RAAMICO,DecAMICO,zPZWav,zAMICO,zspec,Nzspec,SNRPZWav,SNRAMICO,lambdaPmem
EUCL-Q1-CL J041113.88−481928.2,EUCL-Q1-CL-0,62.8089,-48.3245,62.8067,-48.3245,0.41,0.40,-,-,40.81,89.38,241.47±4.79
EUCL-Q1-CL J041724.90−474849.7,EUCL-Q1-CL-1,64.3521,-47.8150,64.3554,-47.8127,0.55,0.56,-,-,24.20,60.43,115.26±4.13
EUCL-Q1-CL J033747.63−275112.8,EUCL-Q1-CL-2,54.4491,-27.8497,54.4478,-27.8574,0.49,0.48,0.535±0.004,10,23.43,51.72,81.36±4.74
EUCL-Q1-CL J032321.22−275105.3,EUCL-Q1-CL-3,50.8371,-27.8549,50.8397,-27.8481,0.42,0.41,-,-,22.61,46.43,56.14±4.73
EUCL-Q1-CL J040151.05−502848.7,EUCL-Q1-CL-4,60.4686,-50.4780,60.4568,-50.4824,0.43,0.42,-,-,22.38,30.49,99.03±4.45
EUCL-Q1-CL J040558.72−491549.3,EUCL-Q1-CL-5,61.5018,-49.2626,61.4875,-49.2648,0.31,0.30,-,-,22.21,52.78,131.57±4.40
EUCL-Q1-CL J040655.77−480504.2,EUCL-Q1-CL-6,61.7282,-48.0850,61.7365,-48.0840,0.69,0.70,-,-,22.14,34.27,99.21±3.72
EUCL-Q1-CL J041343.51−480756.5,EUCL-Q1-CL-7,63.4322,-48.1305,63.4304,-48.1343,1.47,1.46,-,-,21.74,37.54,22.95±2.24
EUCL-Q1-CL J180607.67+635615.6,EUCL-Q1-CL-8,271.5285,63.9386,271.5355,63.9367,1.32,1.33,-,-,21.53,57.26,23.13±2.05
EUCL-Q1-CL J040509.84−464902.4,EUCL-Q1-CL-9,61.2955,-46.8097,61.2865,-46.8250,0.42,0.38,-,-,20.48,37.06,99.49±4.55
EUCL-Q1-CL J035146.84−480404.3,EUCL-Q1-CL-10,57.9409,-48.0683,57.9494,-48.0674,0.56,0.56,-,-,20.22,35.70,28.75±2.73
EUCL-Q1-CL J034959.80−481952.6,EUCL-Q1-CL-11,57.5029,-48.3288,57.4954,-48.3338,1.40,1.44,-,-,20.14,31.49,60.20±1.75
EUCL-Q1-CL J035003.59−504145.7,EUCL-Q1-CL-12,57.5123,-50.6948,57.5176,-50.6973,0.65,0.66,-,-,20.10,23.28,33.66±2.74
EUCL-Q1-CL J033352.73−272113.8,EUCL-Q1-CL-13,53.4665,-27.3535,53.4728,-27.3542,0.57,0.55,0.605±0.005,8,19.98,36.64,45.67±3.15
EUCL-Q1-CL J032929.78−281930.3,EUCL-Q1-CL-14,52.3730,-28.3266,52.3752,-28.3236,0.63,0.66,0.682±0.007,37,19.74,29.01,59.93±4.68
EUCL-Q1-CL J033412.98−282418.7,EUCL-Q1-CL-15,53.5511,-28.4065,53.5570,-28.4039,0.65,0.66,0.662±0.007,74,18.84,25.32,97.08±2.75
EUCL-Q1-CL J033355.96−283807.7,EUCL-Q1-CL-16,53.4879,-28.6368,53.4785,-28.6342,0.59,0.56,0.665±0.007,38,18.70,25.15,71.24±3.38
